id,season,week,neutral_site,conference_game,home_id,home_team,home_conference,home_pregame_elo,away_id,away_team,away_conference,away_pregame_elo
400603840,2015,1,true,false,2579,South Carolina,SEC,1646,153,North Carolina,ACC,1477
400763593,2015,1,false,false,2116,UCF,American Athletic,1626,2229,Florida International,Conference USA,1321
400763399,2015,1,false,false,2117,Central Michigan,Mid-American,1417,197,Oklahoma State,Big 12,1567
400787299,2015,1,false,false,2050,Ball State,Mid-American,,2678,VMI,Southern,
400756896,2015,1,false,false,154,Wake Forest,ACC,,2210,Elon,CAA,
400756895,2015,1,false,false,59,Georgia Tech,ACC,,2016,Alcorn State,SWAC,
400764854,2015,1,false,false,41,Connecticut,American Athletic,,222,Villanova,CAA,
400603839,2015,1,false,false,238,Vanderbilt,SEC,1365,98,Western Kentucky,Conference USA,1521
400756883,2015,1,false,false,254,Utah,Pac-12,1603,130,Michigan,Big Ten,1553
400787302,2015,1,false,false,70,Idaho,Sun Belt,1167,195,Ohio,Mid-American,1321
400763398,2015,1,false,false,135,Minnesota,Big Ten,1633,2628,TCU,Big 12,1963
400787110,2015,1,false,false,328,Utah State,Mountain West,,253,Southern Utah,Big Sky,
400756894,2015,1,false,false,2655,Tulane,American Athletic,1311,150,Duke,ACC,1572
400799923,2015,1,false,false,278,Fresno State,Mountain West,,2000,Abilene Christian,Southland,
400787109,2015,1,false,false,23,San José State,Mountain West,,160,New Hampshire,CAA,
400756882,2015,1,false,false,12,Arizona,Pac-12,1649,2636,UT San Antonio,Conference USA,1294
400787108,2015,1,false,false,2440,Nevada,Mountain West,,302,UC Davis,Big Sky,
400787107,2015,1,false,false,62,Hawai'i,Mountain West,1347,38,Colorado,Pac-12,1357
400763587,2015,1,false,false,2247,Georgia State,Sun Belt,1092,2429,Charlotte,Conference USA,1500
400756903,2015,1,false,false,183,Syracuse,ACC,,227,Rhode Island,CAA,
400764855,2015,1,false,false,2567,SMU,American Athletic,1147,239,Baylor,Big 12,1874
400763470,2015,1,false,false,2711,Western Michigan,Mid-American,1444,127,Michigan State,Big Ten,1850
400760491,2015,1,false,false,349,Army,FBS Independents,,2230,Fordham,Patriot,
400756887,2015,1,false,false,204,Oregon State,Pac-12,,2692,Weber State,Big Sky,
400756888,2015,1,false,false,68,Boise State,Mountain West,1716,264,Washington,Pac-12,1625
400603831,2015,1,false,false,61,Georgia,SEC,1856,2433,Louisiana Monroe,Sun Belt,1312
400763401,2015,1,false,false,2305,Kansas,Big 12,,2571,South Dakota State,MVFC,
400603835,2015,1,false,false,145,Ole Miss,SEC,,2630,UT Martin,OVC,
400763473,2015,1,false,false,2294,Iowa,Big Ten,,2287,Illinois State,MVFC,
400763494,2015,1,false,false,120,Maryland,Big Ten,,257,Richmond,CAA,
400763496,2015,1,true,false,164,Rutgers,Big Ten,,2450,Norfolk State,MEAC,
400764860,2015,1,false,false,2426,Navy,American Athletic,,2142,Colgate,Patriot,
400756891,2015,1,false,false,77,Northwestern,Big Ten,1482,24,Stanford,Pac-12,1747
400756898,2015,1,false,false,228,Clemson,ACC,,2747,Wofford,Southern,
400756897,2015,1,false,false,103,Boston College,ACC,,311,Maine,CAA,
400756902,2015,1,false,false,221,Pittsburgh,ACC,,2754,Youngstown State,MVFC,
400756889,2015,1,false,false,265,Washington State,Pac-12,,2502,Portland State,Big Sky,
400835430,2015,1,false,false,356,Illinois,Big Ten,1406,2309,Kent State,Mid-American,1273
400787303,2015,1,false,false,2084,Buffalo,Mid-American,,399,Albany,CAA,
400787111,2015,1,false,false,2005,Air Force,Mountain West,,2415,Morgan State,MEAC,
400763406,2015,1,false,false,2641,Texas Tech,Big 12,,2534,Sam Houston State,Southland,
400763495,2015,1,false,false,158,Nebraska,Big Ten,1673,252,BYU,FBS Independents,1569
400763497,2015,1,false,false,218,Temple,American Athletic,1489,213,Penn State,Big Ten,1556
400763588,2015,1,false,false,2199,Eastern Michigan,Mid-American,1027,295,Old Dominion,Conference USA,1295
400756904,2015,1,false,false,26,UCLA,Pac-12,1690,258,Virginia,ACC,1494
400787304,2015,1,false,false,193,Miami (OH),Mid-American,,2506,Presbyterian College,Big South,
400603829,2015,1,true,false,2,Auburn,SEC,1732,97,Louisville,ACC,1682
400763592,2015,1,false,false,202,Tulsa,American Athletic,1285,2226,Florida Atlantic,Conference USA,1311
400603828,2015,1,false,false,8,Arkansas,SEC,1741,2638,UTEP,Conference USA,1359
400787412,2015,1,false,false,2026,Appalachian State,Sun Belt,,47,Howard,MEAC,
400834350,2015,1,true,false,2633,Tennessee,SEC,1613,189,Bowling Green,Mid-American,1379
400603834,2015,1,false,false,142,Missouri,SEC,,2546,Southeast Missouri State,OVC,
400787112,2015,1,true,false,36,Colorado State,Mountain West,,2542,Savannah State,MEAC,
400787116,2015,1,false,false,2751,Wyoming,Mountain West,,155,North Dakota,Big Sky,
400763472,2015,1,false,false,84,Indiana,Big Ten,,79,Southern Illinois,MVFC,
400763591,2015,1,false,false,242,Rice,Conference USA,,2681,Wagner,NEC,
400756890,2015,1,false,false,25,California,Pac-12,,2755,Grambling,SWAC,
400756900,2015,1,false,false,2390,Miami,ACC,,2065,Bethune-Cookman,MEAC,
400756901,2015,1,false,false,152,NC State,ACC,1543,2653,Troy,Sun Belt,1210
400787414,2015,1,true,false,6,South Alabama,Sun Belt,,2241,Gardner-Webb,Big South,
400764857,2015,1,false,false,151,East Carolina,American Athletic,,119,Towson,CAA,
400603838,2015,1,true,false,245,Texas A&M,SEC,1628,9,Arizona State,Pac-12,1683
400763590,2015,1,false,false,2393,Middle Tennessee,Conference USA,,2296,Jackson State,SWAC,
400764859,2015,1,false,false,235,Memphis,American Athletic,,2623,Missouri State,MVFC,
400764861,2015,1,false,false,58,South Florida,American Athletic,,50,Florida A&M,MEAC,
400763404,2015,1,false,false,201,Oklahoma,Big 12,1664,2006,Akron,Mid-American,1314
400603832,2015,1,false,false,96,Kentucky,SEC,1401,309,Louisiana,Sun Belt,1453
400763589,2015,1,false,false,2348,Louisiana Tech,Conference USA,,2582,Southern,SWAC,
400763402,2015,1,false,false,2306,Kansas State,Big 12,,233,South Dakota,MVFC,
400787115,2015,1,false,false,2459,Northern Illinois,Mid-American,1513,2439,UNLV,Mountain West,1233
400763403,2015,1,false,false,87,Notre Dame,FBS Independents,1595,251,Texas,Big 12,1564
400603830,2015,1,false,false,57,Florida,SEC,1661,166,New Mexico State,Sun Belt,1100
400763407,2015,1,false,false,277,West Virginia,Big 12,1590,290,Georgia Southern,Sun Belt,1491
400791346,2015,1,true,false,21,San Diego State,Mountain West,,301,San Diego,Pioneer,
400763400,2015,1,false,false,66,Iowa State,Big 12,,2460,Northern Iowa,MVFC,
400764858,2015,1,false,false,248,Houston,American Athletic,,2635,Tennessee Tech,OVC,
400603827,2015,1,true,false,333,Alabama,SEC,1920,275,Wisconsin,Big Ten,1731
400756886,2015,1,false,false,2483,Oregon,Pac-12,,331,Eastern Washington,Big Sky,
400787114,2015,1,false,false,167,New Mexico,Mountain West,,2400,Mississippi Valley State,SWAC,
