season,week,gameId,homeTeam,awayTeam,spread,homeWinProb
2014,1,400548170,Air Force,Nicholls,-14,0.833
2014,1,400548090,Akron,Howard,-21,0.926
2014,1,400548255,Arizona State,Weber State,-45.5,0.999
2014,1,400548405,Arkansas State,Montana State,-8.5,0.721
2014,1,400548398,Auburn,Arkansas,-21,0.926
2014,1,400548093,Ball State,Colgate,-27,0.969
2014,1,400548094,Buffalo,Duquesne,-28,0.973
2014,1,400548092,Central Michigan,Chattanooga,-11.5,0.786
2014,1,400548171,Colorado,Colorado State,-3,0.582
2014,1,400547751,Duke,Elon,-38,0.996
2014,1,400547643,East Carolina,North Carolina Central,-39,0.996
2014,1,400548095,Eastern Michigan,Morgan State,-20,0.916
2014,1,400548004,Florida International,Bethune-Cookman,-1,0.527
2014,1,400547772,Georgia Tech,Wofford,-28,0.973
2014,1,400547644,Houston,UT San Antonio,-12.5,0.806
2014,1,400547904,Illinois,Youngstown State,-9,0.733
2014,1,400547916,Indiana,Indiana State,-27,0.969
2014,1,400547928,Iowa,Northern Iowa,-19,0.905
2014,1,400547839,Kansas State,Stephen F. Austin,-43,0.998
2014,1,400548097,Kent State,Ohio,-1.5,0.541
2014,1,400548400,Kentucky,UT Martin,-20,0.916
2014,1,400548406,Louisiana,Southern,-38,0.996
2014,1,400547829,Louisiana Monroe,Wake Forest,5,0.365
2014,1,400547936,Maryland,James Madison,-21.5,0.931
2014,1,400547645,Memphis,Austin Peay,-31,0.984
2014,1,400547943,Michigan,Appalachian State,-33.5,0.99
2014,1,400547952,Michigan State,Jacksonville State,-27.5,0.971
2014,1,400548006,Middle Tennessee,Savannah State,-41,0.998
2014,1,400548009,Mississippi State,Southern Mississippi,-26,0.964
2014,1,400548401,Missouri,South Dakota State,-14,0.833
2014,1,400547982,Navy,Ohio State,19.5,0.089
2014,1,400547802,NC State,Georgia Southern,-23,0.944
2014,1,400548174,Nevada,Southern Utah,-18,0.893
2014,1,400548011,New Mexico,UTEP,-6.5,0.673
2014,1,400548404,New Mexico State,Cal Poly,7,0.315
2014,1,400547795,North Carolina,Liberty,-26,0.964
2014,1,400548091,Northern Illinois,Presbyterian College,-38,0.996
2014,1,400547834,Oklahoma,Louisiana Tech,-37.5,0.995
2014,1,400548007,Old Dominion,Hampton,-22,0.935
2014,1,400548257,Oregon,South Dakota,-51,1
2014,1,400548258,Oregon State,Portland State,-35,0.992
2014,1,400547808,Pittsburgh,Delaware,-20,0.916
2014,1,400548175,San Diego State,Northern Arizona,-17.5,0.886
2014,1,400553383,San José State,North Dakota,-27,0.969
2014,1,400547646,South Florida,Western Carolina,-26,0.964
2014,1,400548259,Stanford,UC Davis,-47,0.999
2014,1,400547815,Syracuse,Villanova,-14,0.833
2014,1,400547837,TCU,Samford,-34.5,0.991
2014,1,400547836,Texas,North Texas,-26.5,0.966
2014,1,400548407,Texas State,Arkansas-Pine Bluff,-28,0.973
2014,1,400547838,Texas Tech,Central Arkansas,-28,0.973
2014,1,400548096,Toledo,New Hampshire,-10.5,0.766
2014,1,400548010,UAB,Troy,-1,0.527
2014,1,400547728,UMass,Boston College,12.5,0.194
2014,1,400548256,Utah,Idaho State,-41,0.998
2014,1,400547825,Virginia Tech,William & Mary,-23,0.944
2014,1,400548003,Western Kentucky,Bowling Green,7.5,0.302
2014,1,400548179,Wyoming,Montana,-3.5,0.595
2014,2,400548013,Alabama,Florida Atlantic,-39,0.996
2014,2,400548408,Appalachian State,Campbell,-37,0.995
2014,2,400548393,Arkansas,Nicholls,-40.5,0.997
2014,2,400548098,Army,Buffalo,1,0.473
2014,2,400548186,Auburn,San José State,-29,0.977
2014,2,400547842,Baylor,Northwestern State,-47.5,0.999
2014,2,400548181,Boise State,Colorado State,-8,0.709
2014,2,400547729,Boston College,Pittsburgh,-1,0.527
2014,2,400548105,Bowling Green,VMI,-38,0.996
2014,2,400548262,California,Sacramento State,-25.5,0.961
2014,2,400547741,Clemson,South Carolina State,-29.5,0.979
2014,2,400547649,Connecticut,Stony Brook,-16,0.865
2014,2,400548101,Florida,Eastern Michigan,-38,0.996
2014,2,400548012,Florida International,Wagner,-11,0.776
2014,2,400547763,Florida State,The Citadel,-58.5,1
2014,2,400548410,Georgia Southern,Savannah State,-42,0.998
2014,2,400548409,Georgia State,New Mexico State,-3,0.582
2014,2,400548183,Hawai'i,Oregon State,11,0.224
2014,2,400547651,Houston,Grambling,-47.5,0.999
2014,2,400547905,Illinois,Western Kentucky,-1.5,0.541
2014,2,400547929,Iowa,Ball State,-17.5,0.886
2014,2,400547843,Iowa State,Kansas State,15.5,0.143
2014,2,400547847,Kansas,Southeast Missouri State,-25,0.958
2014,2,400548103,Kentucky,Ohio,-6,0.66
2014,2,400548014,Louisiana,Louisiana Tech,-16,0.865
2014,2,400548411,Louisiana Monroe,Idaho,-14,0.833
2014,2,400547780,Louisville,Murray State,-37.5,0.995
2014,2,400548394,LSU,Sam Houston State,-33,0.989
2014,2,400548015,Marshall,Rhode Island,-41,0.998
2014,2,400547787,Miami,Florida A&M,-46.5,0.999
2014,2,400548100,Miami (OH),Eastern Kentucky,-3,0.582
2014,2,400547961,Minnesota,Middle Tennessee,-14,0.833
2014,2,400548017,Mississippi State,UAB,-28.5,0.975
2014,2,400547803,NC State,Old Dominion,-17,0.879
2014,2,400547969,Nebraska,McNeese,-25,0.958
2014,2,400548184,Nevada,Washington State,3,0.418
2014,2,400548185,New Mexico,Arizona State,27,0.031
2014,2,400547796,North Carolina,San Diego State,-13.5,0.824
2014,2,400547653,North Texas,SMU,-4,0.609
2014,2,400547976,Northwestern,Northern Illinois,-2.5,0.568
2014,2,400547944,Notre Dame,Michigan,-6,0.66
2014,2,400547826,Ohio State,Virginia Tech,-12,0.796
2014,2,400547844,Oklahoma State,Missouri State,-32.5,0.987
2014,2,400547953,Oregon,Michigan State,-11,0.776
2014,2,400547986,Penn State,Akron,-18,0.893
2014,2,400547989,Purdue,Central Michigan,-2.5,0.568
2014,2,400547994,Rutgers,Howard,-36.5,0.994
2014,2,400547650,South Carolina,East Carolina,-15.5,0.857
2014,2,400548016,Southern Mississippi,Alcorn State,-18,0.893
2014,2,400547654,South Florida,Maryland,10,0.245
2014,2,400548260,Stanford,USC,-4,0.609
2014,2,400547655,Temple,Navy,4,0.391
2014,2,400548396,Tennessee,Arkansas State,-14.5,0.841
