"Season","SeasonType","Week","GameId","HomeTeam","AwayTeam","Spread","HomeWinProb"
"2023","regular","1","401520149","Alabama","Middle Tennessee","-39","0.996"
"2023","regular","1","401520151","Auburn","UMass","-39.5","0.997"
"2023","regular","1","401525817","Baylor","Texas State","-26.5","0.966"
"2023","regular","1","401525464","Boston College","Northern Illinois","-10","0.755"
"2023","regular","1","401520152","BYU","Sam Houston State","-23.5","0.947"
"2023","regular","1","401523990","Colorado State","Washington State","13.5","0.176"
"2023","regular","1","401520174","Connecticut","NC State","15","0.15"
"2023","regular","1","401525468","Duke","Clemson","13.5","0.176"
"2023","regular","1","401520182","Florida State","LSU","3","0.418"
"2023","regular","1","401525462","Georgia Tech","Louisville","7.5","0.302"
"2023","regular","1","401523988","Hawai'i","Stanford","8","0.291"
"2023","regular","1","401525819","Houston","UT San Antonio","-2","0.555"
"2023","regular","1","401520155","Illinois","Toledo","-9.5","0.744"
"2023","regular","1","401520156","Indiana","Ohio State","27.5","0.029"
"2023","regular","1","401520157","Iowa","Utah State","-21","0.926"
"2023","regular","1","401520145","Jacksonville State","UTEP","-2","0.555"
"2023","regular","1","401520159","Kentucky","Ball State","-26","0.964"
"2023","regular","1","401520160","Liberty","Bowling Green","-13","0.815"
"2023","regular","1","401520175","Louisiana Monroe","Army","7.5","0.302"
"2023","regular","1","401520146","Louisiana Tech","Florida International","-10","0.755"
"2023","regular","1","401525463","Miami","Miami (OH)","-17.5","0.886"
"2023","regular","1","401520162","Michigan","East Carolina","-35","0.992"
"2023","regular","1","401520163","Michigan State","Central Michigan","-14.5","0.841"
"2023","regular","1","401520148","Minnesota","Nebraska","-6.5","0.673"
"2023","regular","1","401525450","New Mexico State","UMass","-7.5","0.698"
"2023","regular","1","401520167","North Carolina","South Carolina","-3","0.582"
"2023","regular","1","401523991","North Texas","California","7.5","0.302"
"2023","regular","1","401525434","Notre Dame","Navy","-19.5","0.911"
"2023","regular","1","401525822","Oklahoma","Arkansas State","-33","0.989"
"2023","regular","1","401520169","Penn State","West Virginia","-20.5","0.921"
"2023","regular","1","401520170","Purdue","Fresno State","-5","0.635"
"2023","regular","1","401520171","Rutgers","Northwestern","-5","0.635"
"2023","regular","1","401532392","San Diego State","Ohio","-3","0.582"
"2023","regular","1","401532573","San José State","Oregon State","17","0.121"
"2023","regular","1","401520172","SMU","Louisiana Tech","-17.5","0.886"
"2023","regular","1","401523994","TCU","Colorado","-21","0.926"
"2023","regular","1","401531387","Temple","Akron","-10","0.755"
"2023","regular","1","401520179","Tennessee","Virginia","-28","0.973"
"2023","regular","1","401525824","Texas","Rice","-35","0.992"
"2023","regular","1","401520173","Texas A&M","New Mexico","-37.5","0.995"
"2023","regular","1","401531347","Tulane","South Alabama","-7.5","0.698"
"2023","regular","1","401525816","UCF","Kent State","-35","0.992"
"2023","regular","1","401523995","UCLA","Coastal Carolina","-16","0.865"
"2023","regular","1","401523986","USC","San José State","-30","0.981"
"2023","regular","1","401523996","USC","Nevada","-38","0.996"
"2023","regular","1","401520176","Utah","Florida","-7","0.685"
"2023","regular","1","401520147","Vanderbilt","Hawai'i","-18.5","0.899"
"2023","regular","1","401525467","Virginia Tech","Old Dominion","-14","0.833"
"2023","regular","1","401523997","Washington","Boise State","-15","0.85"
"2023","regular","1","401520181","Western Kentucky","South Florida","-13.5","0.824"
"2023","regular","1","401520180","Wisconsin","Buffalo","-24.5","0.954"
"2023","regular","1","401525825","Wyoming","Texas Tech","13.5","0.176"
"2023","regular","2","401520183","Alabama","Texas","-6.5","0.673"
"2023","regular","3","401520224","Florida","Tennessee","7.5","0.302"
"2023","regular","3","401520225","Georgia","South Carolina","-24","0.951"
"2023","regular","3","401520233","Michigan State","Washington","11.5","0.214"
"2023","regular","3","401520235","Mississippi State","LSU","9","0.267"
"2023","regular","4","401520250","Alabama","Ole Miss","-14.5","0.841"
"2023","regular","4","401525844","Baylor","Texas","8","0.291"
"2023","regular","4","401525507","Clemson","Florida State","-2.5","0.568"
"2023","regular","4","401520258","LSU","Arkansas","-13.5","0.824"
"2023","regular","4","401521330","Notre Dame","Ohio State","7.5","0.302"
"2023","regular","4","401524017","Utah","UCLA","-8","0.709"
"2023","regular","5","401520280","Auburn","Georgia","18.5","0.101"
"2023","regular","5","401520288","Ole Miss","LSU","5","0.365"
"2023","regular","5","401520291","Tennessee","South Carolina","-13","0.815"
"2023","regular","5","401525854","Texas","Kansas","-18","0.893"
"2023","regular","7","401520316","Alabama","Arkansas","-18","0.893"
"2023","regular","7","401520319","LSU","Auburn","-16.5","0.872"
"2023","regular","7","401524031","Notre Dame","USC","0","0.5"
"2023","regular","7","401524034","Washington","Oregon","-2","0.555"
"2023","regular","8","401520333","Alabama","Tennessee","-9.5","0.744"
"2023","regular","8","401525870","Kansas State","TCU","-4.5","0.622"
"2023","regular","8","401525529","Miami","Clemson","9.5","0.256"
"2023","regular","8","401520340","Michigan State","Michigan","19","0.095"
"2023","regular","8","401520343","Ohio State","Penn State","-10","0.755"
"2023","regular","8","401524037","USC","Utah","-6.5","0.673"
"2023","regular","9","401520352","Florida","Georgia","21.5","0.069"
"2023","regular","9","401525874","Kansas","Oklahoma","7","0.315"
"2023","regular","9","401525534","NC State","Clemson","10.5","0.234"
"2023","regular","9","401524044","Utah","Oregon","-1.5","0.541"
"2023","regular","9","401520360","Wisconsin","Ohio State","9.5","0.256"
"2023","regular","10","401520362","Alabama","LSU","-7","0.685"
"2023","regular","10","401525441","Clemson","Notre Dame","-5","0.635"
"2023","regular","10","401525883","Oklahoma State","Oklahoma","8","0.291"
"2023","regular","10","401525884","Texas","Kansas State","-9.5","0.744"
"2023","regular","10","401524048","USC","Washington","-6","0.66"
"2023","regular","11","401525550","Florida State","Miami","-15","0.85"
"2023","regular","11","401520382","Georgia","Ole Miss","-19.5","0.911"
"2023","regular","11","401520389","LSU","Florida","-16.5","0.872"
"2023","regular","11","401525549","North Carolina","Duke","-9.5","0.744"
"2023","regular","11","401520393","Ohio State","Michigan State","-25.5","0.961"
"2023","regular","11","401524053","Oregon","USC","-2.5","0.568"
