season,seasonType,week,poll,rank,school,points
2020,regular,1,AP Top 25,1,Clemson,1520
2020,regular,1,AP Top 25,2,Ohio State,1504
2020,regular,1,AP Top 25,3,Alabama,1422
2020,regular,1,AP Top 25,4,Georgia,1270
2020,regular,1,AP Top 25,5,Oklahoma,1269
2020,regular,1,AP Top 25,6,LSU,1186
2020,regular,1,AP Top 25,7,Penn State,1147
2020,regular,1,AP Top 25,8,Florida,1125
2020,regular,1,AP Top 25,9,Oregon,1119
2020,regular,1,AP Top 25,10,Notre Dame,995
2020,regular,1,AP Top 25,11,Auburn,852
2020,regular,1,AP Top 25,12,Wisconsin,840
2020,regular,1,AP Top 25,13,Texas A&M,764
2020,regular,1,AP Top 25,14,Texas,703
2020,regular,1,AP Top 25,15,Oklahoma State,672
2020,regular,1,AP Top 25,16,Michigan,611
2020,regular,1,AP Top 25,17,USC,534
2020,regular,1,AP Top 25,18,North Carolina,496
2020,regular,1,AP Top 25,19,Minnesota,451
2020,regular,1,AP Top 25,20,Cincinnati,234
2020,regular,1,AP Top 25,21,UCF,229
2020,regular,1,AP Top 25,22,Utah,211
2020,regular,1,AP Top 25,23,Iowa State,199
2020,regular,1,AP Top 25,24,Iowa,134
2020,regular,1,AP Top 25,25,Tennessee,133
2020,regular,1,Coaches Poll,1,Clemson,1589
2020,regular,1,Coaches Poll,2,Ohio State,1555
2020,regular,1,Coaches Poll,3,Alabama,1495
2020,regular,1,Coaches Poll,4,Georgia,1345
2020,regular,1,Coaches Poll,5,LSU,1330
2020,regular,1,Coaches Poll,6,Oklahoma,1315
2020,regular,1,Coaches Poll,7,Penn State,1199
2020,regular,1,Coaches Poll,8,Florida,1176
2020,regular,1,Coaches Poll,9,Oregon,1164
2020,regular,1,Coaches Poll,10,Notre Dame,1012
2020,regular,1,Coaches Poll,11,Auburn,898
2020,regular,1,Coaches Poll,12,Wisconsin,887
2020,regular,1,Coaches Poll,13,Texas A&M,807
2020,regular,1,Coaches Poll,14,Texas,703
2020,regular,1,Coaches Poll,15,Michigan,687
2020,regular,1,Coaches Poll,16,Oklahoma State,524
2020,regular,1,Coaches Poll,17,USC,521
2020,regular,1,Coaches Poll,18,Minnesota,494
2020,regular,1,Coaches Poll,19,North Carolina,415
2020,regular,1,Coaches Poll,20,Utah,241
2020,regular,1,Coaches Poll,21,UCF,232
2020,regular,1,Coaches Poll,22,Cincinnati,229
2020,regular,1,Coaches Poll,23,Iowa,204
2020,regular,1,Coaches Poll,24,Virginia Tech,143
2020,regular,1,Coaches Poll,25,Iowa State,135
2020,regular,3,Coaches Poll,1,Clemson,1020
2020,regular,3,Coaches Poll,2,Alabama,973
2020,regular,3,Coaches Poll,3,Oklahoma,907
2020,regular,3,Coaches Poll,4,Georgia,904
2020,regular,3,Coaches Poll,5,LSU,852
2020,regular,3,Coaches Poll,6,Florida,837
2020,regular,3,Coaches Poll,7,Notre Dame,760
2020,regular,3,Coaches Poll,8,Texas,697
2020,regular,3,Coaches Poll,9,Auburn,694
2020,regular,3,Coaches Poll,10,Texas A&M,639
2020,regular,3,Coaches Poll,11,North Carolina,575
2020,regular,3,Coaches Poll,12,Oklahoma State,547
2020,regular,3,Coaches Poll,13,UCF,414
2020,regular,3,Coaches Poll,14,Cincinnati,403
2020,regular,3,Coaches Poll,15,Memphis,314
2020,regular,3,Coaches Poll,16,Louisville,313
2020,regular,3,Coaches Poll,17,Tennessee,309
2020,regular,3,Coaches Poll,18,Miami,267
2020,regular,3,Coaches Poll,19,Virginia Tech,265
2020,regular,3,Coaches Poll,20,Kentucky,232
2020,regular,3,Coaches Poll,21,Louisiana,219
2020,regular,3,Coaches Poll,22,BYU,201
2020,regular,3,Coaches Poll,23,Appalachian State,177
2020,regular,3,Coaches Poll,24,Baylor,161
2020,regular,3,Coaches Poll,25,Army,127
2020,regular,3,AP Top 25,1,Clemson,1524
2020,regular,3,AP Top 25,2,Alabama,1456
2020,regular,3,AP Top 25,3,Oklahoma,1361
2020,regular,3,AP Top 25,4,Georgia,1324
2020,regular,3,AP Top 25,5,Florida,1237
2020,regular,3,AP Top 25,6,LSU,1236
2020,regular,3,AP Top 25,7,Notre Dame,1155
2020,regular,3,AP Top 25,8,Auburn,1055
2020,regular,3,AP Top 25,9,Texas,1033
2020,regular,3,AP Top 25,10,Texas A&M,983
2020,regular,3,AP Top 25,11,Oklahoma State,927
2020,regular,3,AP Top 25,12,North Carolina,892
