season,week,poll,rank,school,points
2022,1,AP Top 25,1,Alabama,1566
2022,1,AP Top 25,2,Ohio State,1506
2022,1,AP Top 25,3,Georgia,1455
2022,1,AP Top 25,4,Clemson,1292
2022,1,AP Top 25,5,Notre Dame,1242
2022,1,AP Top 25,6,Texas A&M,1212
2022,1,AP Top 25,7,Utah,1209
2022,1,AP Top 25,8,Michigan,1203
2022,1,AP Top 25,9,Oklahoma,956
2022,1,AP Top 25,10,Baylor,884
2022,1,AP Top 25,11,Oregon,831
2022,1,AP Top 25,12,Oklahoma State,814
2022,1,AP Top 25,13,NC State,752
2022,1,AP Top 25,14,USC,711
2022,1,AP Top 25,15,Michigan State,631
2022,1,AP Top 25,16,Miami,476
2022,1,AP Top 25,17,Pittsburgh,383
2022,1,AP Top 25,18,Wisconsin,365
2022,1,AP Top 25,19,Arkansas,348
2022,1,AP Top 25,20,Kentucky,332
2022,1,AP Top 25,21,Ole Miss,324
2022,1,AP Top 25,22,Wake Forest,303
2022,1,AP Top 25,23,Cincinnati,265
2022,1,AP Top 25,24,Houston,263
2022,1,AP Top 25,25,BYU,234
2022,1,Coaches Poll,1,Alabama,1634
2022,1,Coaches Poll,2,Ohio State,1564
2022,1,Coaches Poll,3,Georgia,1542
2022,1,Coaches Poll,4,Clemson,1356
2022,1,Coaches Poll,5,Notre Dame,1284
2022,1,Coaches Poll,6,Michigan,1232
2022,1,Coaches Poll,7,Texas A&M,1219
2022,1,Coaches Poll,8,Utah,1134
2022,1,Coaches Poll,9,Oklahoma,1027
2022,1,Coaches Poll,10,Baylor,891
2022,1,Coaches Poll,11,Oklahoma State,859
2022,1,Coaches Poll,12,Oregon,734
2022,1,Coaches Poll,13,NC State,726
2022,1,Coaches Poll,14,Michigan State,711
2022,1,Coaches Poll,15,USC,602
2022,1,Coaches Poll,16,Pittsburgh,450
2022,1,Coaches Poll,17,Miami,433
2022,1,Coaches Poll,18,Texas,383
2022,1,Coaches Poll,19,Wake Forest,381
2022,1,Coaches Poll,20,Wisconsin,369
2022,1,Coaches Poll,21,Kentucky,353
2022,1,Coaches Poll,22,Cincinnati,339
2022,1,Coaches Poll,23,Arkansas,334
2022,1,Coaches Poll,24,Ole Miss,327
2022,1,Coaches Poll,25,Houston,257
2022,1,FCS Coaches Poll,1,North Dakota State,624
2022,1,FCS Coaches Poll,2,Montana,567
2022,1,FCS Coaches Poll,3,South Dakota State,566
2022,1,FCS Coaches Poll,4,Montana State,560
2022,1,FCS Coaches Poll,5,Villanova,493
2022,1,FCS Coaches Poll,6,Kennesaw State,453
2022,1,FCS Coaches Poll,7,Sacramento State,452
2022,1,FCS Coaches Poll,8,Missouri State,405
2022,1,FCS Coaches Poll,9,Southern Illinois,379
2022,1,FCS Coaches Poll,10,Stephen F. Austin,362
2022,1,FCS Coaches Poll,11,East Tennessee State,352
2022,1,FCS Coaches Poll,12,Eastern Washington,337
2022,1,FCS Coaches Poll,13,Chattanooga,294
2022,1,FCS Coaches Poll,14,Incarnate Word,277
2022,1,FCS Coaches Poll,15,UT Martin,257
2022,1,FCS Coaches Poll,16,Southeastern Louisiana,254
2022,1,FCS Coaches Poll,17,Jackson State,245
2022,1,FCS Coaches Poll,18,Holy Cross,184
2022,1,FCS Coaches Poll,19,Delaware,172
2022,1,FCS Coaches Poll,20,Weber State,141
2022,1,FCS Coaches Poll,21,Northern Iowa,119
2022,1,FCS Coaches Poll,22,UC Davis,101
2022,1,FCS Coaches Poll,23,Mercer,78
2022,1,FCS Coaches Poll,24,Rhode Island,66
2022,1,FCS Coaches Poll,24,Richmond,66
2022,1,AFCA Division II Coaches Poll,1,Ferris State,750
2022,1,AFCA Division II Coaches Poll,2,Northwest Missouri State,661
2022,1,AFCA Division II Coaches Poll,3,Valdosta State,656
2022,1,AFCA Division II Coaches Poll,4,Colorado Mines,654
2022,1,AFCA Division II Coaches Poll,5,Grand Valley State,596
2022,1,AFCA Division II Coaches Poll,6,Shepherd,550
2022,1,AFCA Division II Coaches Poll,7,Angelo State,494
2022,1,AFCA Division II Coaches Poll,8,Bowie State,479
2022,1,AFCA Division II Coaches Poll,9,Harding,467
2022,1,AFCA Division II Coaches Poll,10,Notre Dame College,465
2022,1,AFCA Division II Coaches Poll,11,West Florida,452
2022,1,AFCA Division II Coaches Poll,12,West Georgia,373
2022,1,AFCA Division II Coaches Poll,13,Kutztown,359
2022,1,AFCA Division II Coaches Poll,14,Nebraska-Kearney,318
2022,1,AFCA Division II Coaches Poll,15,Newberry,250
2022,1,AFCA Division II Coaches Poll,16,New Haven,243
2022,1,AFCA Division II Coaches Poll,17,Western State,226
2022,1,AFCA Division II Coaches Poll,18,Albany State (GA),160
2022,1,AFCA Division II Coaches Poll,19,Lenoir-Rhyne,154
2022,1,AFCA Division II Coaches Poll,19,Ouachita Baptist,154
2022,1,AFCA Division II Coaches Poll,21,California (PA),143
2022,1,AFCA Division II Coaches Poll,22,Bemidji State,137
2022,1,AFCA Division II Coaches Poll,23,Slippery Rock,131
2022,1,AFCA Division II Coaches Poll,24,Midwestern State,112
2022,1,AFCA Division II Coaches Poll,25,Augustana (SD),99
2022,2,FCS Coaches Poll,1,North Dakota State,698
2022,2,FCS Coaches Poll,2,Montana,666
2022,2,FCS Coaches Poll,3,South Dakota State,634
2022,2,FCS Coaches Poll,4,Montana State,624
2022,2,FCS Coaches Poll,5,Villanova,586
2022,2,FCS Coaches Poll,6,Sacramento State,539
2022,2,FCS Coaches Poll,7,Missouri State,506
2022,2,FCS Coaches Poll,8,East Tennessee State,417
2022,2,FCS Coaches Poll,9,Incarnate Word,410
2022,2,FCS Coaches Poll,10,Chattanooga,405
