"Season","SeasonType","Week","Poll","Rank","School","Conference","FirstPlaceVotes","Points"
"2023","regular","1","AP Top 25","1","Georgia","SEC","60","1572"
"2023","regular","1","AP Top 25","2","Michigan","Big Ten","2","1490"
"2023","regular","1","AP Top 25","3","Ohio State","Big Ten","1","1400"
"2023","regular","1","AP Top 25","4","Alabama","SEC","0","1398"
"2023","regular","1","AP Top 25","5","LSU","SEC","0","1276"
"2023","regular","1","AP Top 25","6","USC","Pac-12","0","1245"
"2023","regular","1","AP Top 25","7","Penn State","Big Ten","0","1177"
"2023","regular","1","AP Top 25","8","Florida State","ACC","0","1147"
"2023","regular","1","AP Top 25","9","Clemson","ACC","0","1032"
"2023","regular","1","AP Top 25","10","Washington","Pac-12","0","977"
"2023","regular","1","AP Top 25","11","Texas","Big 12","0","882"
"2023","regular","1","AP Top 25","12","Tennessee","SEC","0","868"
"2023","regular","1","AP Top 25","13","Notre Dame","FBS Independents","0","863"
"2023","regular","1","AP Top 25","14","Utah","Pac-12","0","811"
"2023","regular","1","AP Top 25","15","Oregon","Pac-12","0","732"
"2023","regular","1","AP Top 25","16","Kansas State","Big 12","0","501"
"2023","regular","1","AP Top 25","17","TCU","Big 12","0","416"
"2023","regular","1","AP Top 25","18","Oregon State","Pac-12","0","406"
"2023","regular","1","AP Top 25","19","Wisconsin","Big Ten","0","386"
"2023","regular","1","AP Top 25","20","Oklahoma","Big 12","0","296"
"2023","regular","1","AP Top 25","21","North Carolina","ACC","0","292"
"2023","regular","1","AP Top 25","22","Ole Miss","SEC","0","281"
"2023","regular","1","AP Top 25","23","Texas A&M","SEC","0","227"
"2023","regular","1","AP Top 25","24","Tulane","American Athletic","0","224"
"2023","regular","1","AP Top 25","25","Iowa","Big Ten","0","131"
"2023","regular","1","Coaches Poll","1","Georgia","SEC","61","1643"
"2023","regular","1","Coaches Poll","2","Michigan","Big Ten","0","1510"
"2023","regular","1","Coaches Poll","3","Alabama","SEC","4","1489"
"2023","regular","1","Coaches Poll","4","Ohio State","Big Ten","1","1485"
