Game,Trophy,Team_1,Team_2,First Year,Latest Year,Meetings
100 Miles of Hate,,Middle Tennessee,Western Kentucky,1914,2022,72
Air Force–Colorado State,Ram–Falcon Trophy,Air Force,Colorado State,1957,2022,60
Air Force–Hawaii,Kuter Trophy,Air Force,Hawai'i,1966,2019,22
Akron–Kent State,Wagon Wheel,Akron,Kent State,1923,2022,65
Alabama–Clemson,,Alabama,Clemson,1900,2019,19
Alabama–Florida,,Alabama,Florida,1916,2021,42
Alabama–Georgia,,Alabama,Georgia,1895,2022,72
Alabama–LSU,,Alabama,LSU,1895,2022,87
Alabama–Ole Miss,,Alabama,Ole Miss,1894,2022,70
Alabama–Penn State,,Alabama,Penn State,1959,2011,15
Appalachian State–Marshall,,Appalachian State,Marshall,1977,2022,15
Apple Cup,Apple Cup Trophy,Washington,Washington State,1900,2022,114
Arizona–New Mexico,,Arizona,New Mexico,1908,2015,67
Arizona–Texas Tech,,Arizona,Texas Tech,1932,2019,33
Arkansas–LSU,Golden Boot,Arkansas,LSU,1901,2022,68
Arkansas–Ole Miss,,Arkansas,Ole Miss,1908,2022,69
Arkansas–Texas,,Arkansas,Texas,1894,2021,79
Arkansas–Texas Tech,,Arkansas,Texas Tech,1957,2015,37
Army–Navy Game,Secretary's Trophy,Army,Navy,1890,2022,123
Army–Notre Dame,,Army,Notre Dame,1913,2016,51
Auburn–Clemson,,Auburn,Clemson,1899,2017,51
Auburn–Florida,,Auburn,Florida,1912,2019,84
Auburn–Georgia Tech,,Auburn,Georgia Tech,1892,2005,92
Auburn–Ole Miss,,Auburn,Ole Miss,1928,2022,47
Auburn–Tennessee,,Auburn,Tennessee,1900,2020,54
Auburn–Tulane,,Auburn,Tulane,1902,2019,38
Backyard Brawl,,Pittsburgh,West Virginia,1895,2022,105
Ball State–Northern Illinois,Bronze Stalk Trophy,Ball State,Northern Illinois,1941,2022,50
Battle for Highway 82,,Alabama,Mississippi State,1896,2022,107
Battle for Nevada,Fremont Cannon,Nevada,UNLV,1969,2022,48
Battle for the Bell,Victory Bell,Cincinnati,Miami (OH),1888,2022,126
Battle for the Bell,The Bell,Marshall,Ohio,1905,2019,60
Battle for the Bell,The Bell,Southern Mississippi,Tulane,1979,2022,32
Battle for the Belt,The Belt,South Alabama,Troy,2012,2022,11
Battle for the Palladium,The Palladium Trophy,Middle Tennessee,Troy,1936,2020,21
Battle for the Rag,Tiger Rag,LSU,Tulane,1893,2009,98
Battle Line Rivalry,Battle Line Trophy,Arkansas,Missouri,1906,2022,14
Battle of I-10,Silver Spade,New Mexico State,UTEP,1914,2022,99
Battle of the Brazos,,Baylor,Texas A&M,1899,2011,108
Battle of the Bricks,,Miami (OH),Ohio,1908,2022,98
Battle of the Brothers,,Utah,Utah State,1892,2015,112
Battle of the Carolinas,,North Carolina,South Carolina,1903,2021,59
Battle on the Bayou,Wooden Boot,Louisiana,Louisiana Monroe,1951,2022,58
Baylor–TCU,,Baylor,TCU,1899,2022,118
Baylor–Texas Tech,,Baylor,Texas Tech,1929,2022,81
Bedlam Series,Bedlam Bell,Oklahoma,Oklahoma State,1904,2022,117
Big Game,The Axe,California,Stanford,1892,2022,125
